#SampleID	Name	Region	Month	Type	remarks
01W1	01W1	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
01W2	01W2	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
01W3	01W3	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
01W4	01W4	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
01W5	01W5	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
01W6	01W6	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
01W7	01W7	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
02W1	02W1	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
02W2	02W2	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
02W3	02W3	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
02W4	02W4	Skytree	June	Air	We did not use for analysis due to incorrect sample setting
02W5	02W5	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
02W6	02W6	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
02W7	02W7	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
03W1	03W1	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
03W2	03W2	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
03W3	03W3	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
03W4	03W4	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
03W5	03W5	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
03W6	03W6	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
04W1	04W1	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
04W2	04W2	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
04W3	04W3	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
04W4	04W4	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
04W5	04W5	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
04W6	04W6	Skytree	July	Air	We did not use for analysis due to incorrect sample setting
05W1	05W1	Skytree	August	Air	
05W2	05W2	Skytree	August	Air	
05W3	05W3	Skytree	August	Air	
05W4	05W4	Skytree	August	Air	
05W5	05W5	Skytree	August	Air	
05W6	05W6	Skytree	August	Air	
05W7	05W7	Skytree	August	Air	
06W1	06W1	Skytree	August	Air	
06W2	06W2	Skytree	August	Air	
06W3	06W3	Skytree	August	Air	
06W4	06W4	Skytree	August	Air	
07W1	07W1	Skytree	August	Air	
07W2	07W2	Skytree	August	Air	
07W3	07W3	Skytree	August	Air	
07W4	07W4	Skytree	August	Air	
07W5	07W5	Skytree	September	Air	
07W6	07W6	Skytree	September	Air	
07W7	07W7	Skytree	September	Air	
08W1	08W1	Skytree	September	Air	
08W2	08W2	Skytree	September	Air	
08W3	08W3	Skytree	September	Air	
08W4	08W4	Skytree	September	Air	
08W5	08W5	Skytree	September	Air	
09W1	09W1	Skytree	September	Air	
09W2	09W2	Skytree	September	Air	
09W3	09W3	Skytree	September	Air	
09W4	09W4	Skytree	September	Air	
09W5	09W5	Skytree	September	Air	
10W3	10W3	Skytree	October	Air	
10W4	10W4	Skytree	October	Air	
10W5	10W5	Skytree	October	Air	
11W1	11W1	Skytree	October	Air	
11W2	11W2	Skytree	October	Air	
11W3	11W3	Skytree	October	Air	
11W4	11W4	Skytree	October	Air	
11W5	11W5	Skytree	October	Air	
12W1	12W1	Skytree	October	Air	
12W2	12W2	Skytree	October	Air	
12W3	12W3	Skytree	October	Air	
13W1	13W1	Skytree	October	Air	
13W2	13W2	Skytree	October	Air	
13W3	13W3	Skytree	November	Air	
13W4	13W4	Skytree	November	Air	
13W5	13W5	Skytree	November	Air	
14W1	14W1	Skytree	November	Air	
14W2	14W2	Skytree	November	Air	
14W3	14W3	Skytree	November	Air	
14W4	14W4	Skytree	November	Air	
14W5	14W5	Skytree	November	Air	
14W6	14W6	Skytree	November	Air	
14W7	14W7	Skytree	November	Air	
15W1	15W1	Skytree	December	Air	
15W2	15W2	Skytree	December	Air	
15W3	15W3	Skytree	December	Air	
15W4	15W4	Skytree	December	Air	
15W5	15W5	Skytree	December	Air	
15W6	15W6	Skytree	December	Air	
15W7	15W7	Skytree	December	Air	
